"S.N.","Code","Abbr","Name","City","Mount Type","Capacity (kWp)","Day Generation (kWh)","Day Yield (kWh/kWp)","Day Est. Irradiation (kWh/m²)","Performance Ratio (%)"
"358","21040","ABB N","ABB 1 Phase 3 Nashik","Nashik","rooftop","200.25","...","...","...","..."
"359","21041","MJCB","MJ Casting Limited Bawal","Bawal","rooftop","199.36","...","...","...","..."
"360","21043","MTGR","Minda TG Rubber India Pvt Ltd","Asalwas","rooftop","600.75","...","...","...","..."
"361","21044","MISDM","Minda Industries Ltd Switch Division Manesar","Gurugram","rooftop","607.42","...","...","...","..."
"362","21045","MFCD","Minda Fuel Cap Division","Gurugram","rooftop","84.99","...","...","...","..."
"363","21046","MINDAM","MINDA Manesar","Manesar","rooftop","471.7","...","...","...","..."
"364","21049","MINDAC","Mindarika Pvt Ltd Chennai","Chennai","rooftop","541.12","...","...","...","..."
"365","21051","MRH","Minda Rinder Hosur","Hosur","rooftop","405.84","...","...","...","..."
"366","21052","MSH","Minda Switch Division Hosur","Hosur","rooftop","350.66","...","...","...","..."
"367","21054","MLBA","Minda Lighting Block A","Gurugram","rooftop","205.145","...","...","...","..."
"368","21055","MRS","Minda Rinder Sonipat","Sonipat","rooftop","65.42","...","...","...","..."
"369","21057","MISW","Minda SW","Pune","rooftop","267.7","...","...","...","..."
"370","21058","MKEP","Minda Katolac Electronics Pune","Pune","rooftop","192.24","...","...","...","..."
"371","21059","MIAE","Minda Industries - Advance Electronics","Pune","rooftop","338.2","...","...","...","..."
